,pvalue,FoldChange,log(pvalue),log2FC,sig,size
DNAJC6,0.8806445319723566,0.9834747753311045,0.055199357144870016,0.02404004489643296,normal,0.09834747753311045
PSMB7,0.8723291973830583,0.9779393532141243,0.05931959118330466,0.03218309548711579,normal,0.09779393532141242
AKT3,0.6651791211947405,1.0291965230710272,0.1770613909802073,-0.04151848834383401,normal,0.10291965230710272
IDH3B,0.8345573606625021,1.0056950534042635,0.0785438081002773,-0.008192917832644253,normal,0.10056950534042634
PLCB1,0.9620893968023972,1.0020139757602944,0.016784571689683923,-0.002902630907828892,normal,0.10020139757602944
GIT1,0.8359996897007935,1.0077708587764325,0.07779388375866078,-0.011167644307212314,normal,0.10077708587764325
MAP1A,0.6374871111401708,1.0086455423966991,0.19552859147014504,-0.012419272492462574,normal,0.10086455423966992
NCL,0.9008967306317672,0.9890493005721048,0.04532498913991921,0.015885658919984877,normal,0.09890493005721049
ACSBG1,0.8450979101756569,1.0056554639807176,0.07309297225066706,-0.008136124683429353,normal,0.10056554639807176
PDE2A,0.979714519308005,1.001090398271563,0.00890045568631448,-0.0015722551425283102,normal,0.10010903982715631
VCP,0.9451832212606417,0.9955583175049018,0.02448399649649708,0.00642226672574107,normal,0.09955583175049018
RTN1,0.9662530115374943,1.0017353852988173,0.014909139498376599,-0.002501461891770661,normal,0.10017353852988173
SIRPA,0.32508332157384223,1.0098738617398144,0.48800531144590426,-0.014175104455281935,normal,0.10098738617398144
MYADM,0.7492320772439592,1.0687447243449404,0.1253836372340331,-0.09591729842643966,normal,0.10687447243449404
RAB4A,0.9589461857227302,0.9972105170982061,0.01820576394448657,0.004029996569164915,normal,0.09972105170982061
LY6H,0.9155409014742901,0.99234166048734,0.038322248972557045,0.011091172836791336,normal,0.099234166048734
EIF4G1,0.7186892999072955,1.0333285906333793,0.14345882102026655,-0.047299093211834634,normal,0.10333285906333793
SLC44A1,0.7713353477638043,1.09457479420733,0.11275676589274501,-0.13037053975891555,normal,0.109457479420733
CADM3,0.8698907491928838,0.9805107784486454,0.060535287613586765,0.028394605286928706,normal,0.09805107784486454
CBR4,0.9981073580021944,1.0001016888878698,0.000822742800481949,-0.00014669859556111506,normal,0.10001016888878697
ACOT13,0.8941627867633103,1.010587934662831,0.04858340854498084,-0.015194860938275784,normal,0.1010587934662831
ATP5E,0.8476896483290525,0.9700034857008558,0.07176312025311989,0.04393816326357308,normal,0.09700034857008558
FARSB,0.6686430024482399,1.0267486722111079,0.1748056960572105,-0.03808308162844801,normal,0.10267486722111079
CAND1,0.5280642748018776,1.0084633279982058,0.27731321289632893,-0.012158622397013383,normal,0.10084633279982058
OGDHL,0.7187388314848661,1.0345640582333087,0.14342889077143173,-0.04902297688891995,normal,0.10345640582333086
ELMO2,0.7817713718099866,1.0116706640283286,0.10692023732228555,-0.01673971621692108,normal,0.10116706640283286
VAPA,0.7376622400091248,1.0129109231414932,0.1321424469542373,-0.0185073070190405,normal,0.10129109231414932
SPTAN1,0.6370636495049424,1.0216398840909249,0.1958171748109156,-0.030886753036008855,normal,0.1021639884090925
SLC25A22,0.9395517218420314,0.996170754740902,0.027079307216141164,0.005535037429957418,normal,0.0996170754740902
MCCC1,0.7115569844435496,1.0279693401167864,0.1477903140780821,-0.03979723581477019,normal,0.10279693401167864
MTX3,0.8637400550939398,0.9786884547508885,0.06361693995660363,0.031078414136257258,normal,0.09786884547508885
RAB3GAP2,0.9737985363104344,0.9983106228695625,0.011530882565621792,0.002439317052134748,normal,0.09983106228695625
EEF2,0.6669284745286701,1.006454112673654,0.17592073997123742,-0.009281396871971062,normal,0.1006454112673654
RPL23A,0.8946653843441263,0.9891763400635392,0.048339365695885005,0.015700362318043726,normal,0.09891763400635392
EIF3L,0.6434283342954874,1.011619566898523,0.1914998182285296,-0.016666847209140582,normal,0.10116195668985231
